strain	alive	dead	island
NKZ2	6	938	Ishigaki
NKZ2	9	986	Ishigaki
NKZ2	3	394	Ishigaki
NKZ2	7	362	Ishigaki
NKZ2	4	438	Ishigaki
NKZ2	1	193	Ishigaki
NKZ2	5	505	Ishigaki
NKZ2	10	565	Ishigaki
NKZ22	0	591	Iriomote 
NKZ22	0	994	Iriomote 
NKZ22	0	210	Iriomote 
NKZ22	0	792	Iriomote 
NKZ22	0	776	Iriomote 
NKZ27	1	538	Iriomote 
NKZ27	4	474	Iriomote 
NKZ43	0	63	Ishigaki
NKZ43	0	61	Ishigaki
NKZ43	0	50	Ishigaki
NKZ43	1	62	Ishigaki
NKZ44	0	644	Ishigaki
NKZ44	0	903	Ishigaki
NKZ44	0	549	Ishigaki
NKZ44	0	696	Ishigaki
NKZ44	0	318	Ishigaki
NKZ45	0	42	Ishigaki
NKZ45	0	447	Ishigaki
NKZ45	0	416	Ishigaki
NKZ45	0	633	Ishigaki
NKZ45	0	600	Ishigaki
NKZ45	0	644	Ishigaki
NKZ45	0	320	Ishigaki
NKZ45	0	744	Ishigaki
NKZ45	0	384	Ishigaki
NKZ45	0	850	Ishigaki
NKZ46	1	491	Ishigaki
NKZ46	0	832	Ishigaki
NKZ46	0	908	Ishigaki
NKZ46	0	660	Ishigaki
NKZ46	0	622	Ishigaki
NKZ46	0	1164	Ishigaki
NKZ46	0	570	Ishigaki
NKZ46	2	391	Ishigaki
NKZ46	1	1040	Ishigaki
NKZ46	0	1140	Ishigaki
NKZ47	0	232	Ishigaki
NKZ47	0	287	Ishigaki
NKZ47	0	171	Ishigaki
NKZ47	1	309	Ishigaki
NKZ47	0	299	Ishigaki
NKZ49	0	201	Ishigaki
NKZ49	0	52	Ishigaki
NKZ49	0	167	Ishigaki
NKZ49	0	196	Ishigaki
NKZ49	0	318	Ishigaki
NKZ50	0	151	Ishigaki
NKZ50	0	46	Ishigaki
NKZ50	0	284	Ishigaki
NKZ50	0	231	Ishigaki
NKZ51	0	54	Ishigaki
NKZ51	4	455	Ishigaki
NKZ51	0	137	Ishigaki
NKZ51	2	300	Ishigaki
NKZ51	0	112	Ishigaki
NKZ52	0	229	Ishigaki
NKZ52	3	426	Ishigaki
NKZ54	0	174	Ishigaki
NKZ54	0	330	Ishigaki
NKZ54	0	270	Ishigaki
NKZ54	0	172	Ishigaki
NKZ54	0	219	Ishigaki
NKZ54	0	544	Ishigaki
NKZ54	1	626	Ishigaki
NKZ54	0	630	Ishigaki
NKZ54	0	580	Ishigaki
NKZ54	0	444	Ishigaki
NKZ55	0	390	Ishigaki
NKZ55	0	265	Ishigaki
NKZ55	0	328	Ishigaki
NKZ55	0	431	Ishigaki
NKZ55	6	402	Ishigaki
NKZ56	0	58	Iriomote 
NKZ56	0	36	Iriomote 
NKZ56	0	136	Iriomote 
NKZ56	1	97	Iriomote 
NKZ56	1	135	Iriomote 
NKZ57	0	166	Iriomote 
NKZ57	0	322	Iriomote 
NKZ57	0	93	Iriomote 
NKZ57	0	177	Iriomote 
NKZ57	0	316	Iriomote 
NKZ59	0	344	Iriomote 
